Age,GenderID,AnnualIncome,OccupationID,ProductTypeID,LocationID,FamilyAssets,Purchased
31,1,123453,5,6,1,2236981,1
54,1,57057,5,9,5,212923,1
46,0,97955,1,4,4,960345,1
19,0,174644,6,5,6,1841642,1
23,0,189357,4,8,2,2336974,1
80,1,219416,3,6,6,2812318,1
3,1,248009,2,9,4,4645446,0
41,1,198456,6,8,0,1908377,1
26,0,91182,4,4,3,1732182,1
70,1,200124,6,9,5,3586694,1
1,1,48709,7,7,7,792116,0
20,0,99599,3,8,7,1903160,1
54,0,209319,2,1,4,3945121,1
19,0,208370,8,9,5,3690822,1
72,0,176183,1,3,4,2904083,1
38,0,55186,3,3,2,389589,0
16,1,46408,0,0,3,551398,0
7,0,192932,7,9,1,3203179,1
11,0,100600,7,6,3,1968509,0
6,0,152194,6,7,6,2927736,0
17,0,76150,3,2,0,352763,0
2,0,236474,1,6,3,2374892,0
3,0,156389,2,8,7,1573074,0
65,0,133618,0,8,3,2447673,1
38,1,26371,1,7,2,282580,0
9,1,191144,7,8,5,2007034,0
44,1,34951,7,9,6,275137,0
64,0,231165,8,7,2,1299956,1
58,1,77364,7,7,4,1291055,1
45,1,247578,3,4,7,4586563,1
53,0,74754,3,4,7,916765,0
2,1,128533,1,4,3,2124086,0
19,1,40448,4,5,5,378770,1
2,1,17906,8,1,2,159958,0
13,0,158746,2,3,6,2852491,0
24,1,35931,2,3,1,224083,0
78,1,221271,6,6,5,3417755,0
47,0,51755,8,7,6,317056,1
57,0,142663,0,3,6,2185383,1
18,1,29623,6,9,0,243794,1
44,0,167364,9,6,7,2613394,1
44,1,78344,0,5,4,417734,1
29,0,243374,6,6,3,1299324,1
65,1,236828,7,3,4,3376955,1
59,1,41575,6,7,0,698877,1
62,1,239947,6,5,6,1884303,1
67,0,191264,2,7,2,3156543,1
49,1,178639,9,8,0,2805754,1
75,0,67372,6,9,0,352665,0
57,0,185641,1,6,2,1404701,1
38,0,51846,7,2,0,943244,1
21,0,32042,4,6,5,598964,1
5,0,204488,3,7,5,2323282,0
33,0,189362,5,6,4,972667,1
79,0,240983,6,4,1,1772614,1
70,0,202860,7,0,0,1476125,1
77,0,21536,5,3,1,322139,0
59,0,139749,0,0,3,1960725,1
76,0,112471,3,0,2,1299311,1
37,1,16154,3,2,7,267777,0
50,1,216376,1,9,3,1987572,1
73,1,32431,7,4,5,623159,0
29,0,229724,2,9,1,1369309,1
45,1,222977,2,4,1,3867409,1
60,0,190858,9,0,4,1135316,1
49,1,144461,9,6,6,2403144,1
79,1,21653,3,1,3,477482,0
13,0,156385,1,4,1,890926,0
18,0,133629,9,0,5,1369572,1
50,1,30049,8,6,5,94086,0
58,0,201387,1,8,5,1584601,1
6,1,213613,0,6,7,4203155,0
19,1,49063,1,6,5,774832,1
65,0,36017,7,2,6,564072,0
17,1,94878,2,8,4,786147,0
41,1,207133,9,8,7,4069974,1
61,1,106059,7,6,4,1251749,1
69,0,135818,5,3,1,1367370,1
64,1,96475,4,7,3,669419,1
66,1,92189,7,9,6,1016062,1
4,1,245271,5,0,7,3454952,0
36,0,212724,5,2,7,2801342,1
78,1,141691,3,5,4,1839870,1
0,0,142130,5,4,4,1665215,0
77,1,129273,8,0,3,1515504,1
49,0,156470,1,3,6,1744601,1
22,1,114061,7,8,3,1050223,1
0,0,249367,7,7,7,1871226,0
42,1,196481,0,1,4,1711148,1
71,0,64061,3,6,3,1233977,1
47,0,168056,4,9,5,1159241,1
76,0,207096,7,8,5,1435582,1
18,1,46321,6,8,5,746373,1
53,0,101736,5,7,4,1076708,1
18,1,172396,4,4,3,1990326,1
10,0,217815,1,3,5,3237869,0
25,1,176703,1,8,2,3047436,1
42,1,168038,3,3,7,2876743,1
14,1,219684,4,9,4,2654112,0
51,1,177450,1,3,4,3484417,1
29,1,22289,3,5,2,153468,1
73,0,82588,4,0,2,689054,0
55,1,129891,4,0,0,1602774,1
46,0,98204,8,4,2,1379673,1
8,0,91929,7,1,0,737633,0
48,1,137834,9,4,7,2343059,1
73,0,75681,7,7,5,1236484,0
48,0,27633,2,0,4,268584,1
34,1,50390,7,1,1,637296,0
24,1,27727,6,7,1,155197,1
38,0,239104,9,0,2,1304393,1
41,1,232374,2,9,4,3895408,1
72,1,64624,1,3,1,513503,0
1,1,20756,8,6,3,58284,0
66,1,247355,8,6,7,2501542,0
1,1,199648,7,4,6,3881869,0
57,1,52828,4,9,0,733495,1
29,0,134982,9,1,3,2271637,1
15,1,108540,3,4,1,781059,0
29,0,154467,2,3,2,2226788,1
15,1,206133,8,1,2,1489130,0
1,0,188936,0,6,7,2471772,0
67,1,243782,9,7,4,1828703,1
11,0,108864,0,3,4,712412,0
29,1,83861,4,7,1,625926,1
34,1,197226,3,4,3,3043475,1
24,1,84520,6,1,3,1075944,1
79,1,215037,2,4,2,1512850,1
7,0,246513,1,0,2,3098594,0
12,0,174685,4,9,4,3205349,0
42,1,70545,7,1,7,1030079,1
10,1,187404,4,6,4,2648540,0
20,0,191403,8,8,7,1842854,1
3,1,241014,7,1,0,1995934,0
35,1,243893,6,5,4,2709902,1
13,0,151028,0,1,3,1620402,0
20,1,34022,9,9,0,166135,1
52,1,188148,4,9,0,3599171,1
62,0,130575,2,7,7,785328,1
51,0,160949,4,2,6,1766648,1
1,1,13631,7,1,7,115809,0
33,1,169674,5,6,5,2012309,1
44,0,188756,5,1,2,3132375,1
42,0,17788,5,6,7,181269,0
10,1,244706,4,6,0,3628579,0
7,1,188313,7,1,5,1050530,0
65,0,232146,4,5,1,1649830,1
61,0,198785,6,8,0,1951045,1
12,0,49071,8,7,6,822900,0
14,0,199351,0,3,5,2774596,0
21,1,143533,9,7,7,2714033,1
20,0,40841,0,3,4,695710,1
20,1,89751,8,2,4,1391341,1
21,0,199784,7,7,1,3828031,1
78,0,187558,0,9,3,3318440,1
55,0,18894,2,4,0,174589,0
7,1,243103,8,6,1,4202562,0
63,1,132721,3,1,7,1153297,1
26,1,172728,1,2,7,1917855,1
57,1,176923,4,8,4,2791184,1
69,1,164834,6,7,7,3246757,1
23,1,124914,3,7,2,863111,1
16,0,78099,6,3,2,961196,0
3,1,152077,1,4,6,1950695,1
18,0,78926,5,8,4,477349,1
30,1,151330,0,4,4,1734289,1
17,0,142723,9,9,7,878391,0
44,0,200864,2,7,7,2858856,1
46,1,126859,5,5,6,1458914,1
60,1,175937,7,5,3,1351804,1
69,0,231178,3,9,6,2243419,1
36,1,143168,3,6,0,1658217,1
38,1,127666,5,7,6,1519903,1
59,1,178123,6,2,7,1953555,1
23,1,178553,0,2,5,1604646,1
9,1,234655,1,7,1,3920858,0
44,1,200135,8,7,0,1192923,1
49,0,40682,2,6,2,427723,1
70,0,60601,1,7,4,1082672,1
20,1,38228,5,9,6,580934,0
11,0,147660,1,5,6,969672,0
70,1,29446,5,7,0,438601,0
48,0,208241,9,1,3,1242876,1
1,1,121672,4,3,1,1711232,0
75,1,198398,6,1,1,2508037,1
62,0,47823,7,2,4,489275,1
14,1,152055,0,0,5,2747861,0
25,0,39118,0,4,5,506365,0
41,1,28658,5,6,2,240549,0
18,0,236058,3,8,6,1810262,1
35,0,148311,9,2,2,2554916,1
41,1,170211,2,1,6,2294265,1
26,1,142970,9,3,7,2807322,1
31,1,27071,9,2,3,300245,0
31,0,72987,7,4,7,1121909,1
33,1,43691,4,0,7,736989,1
24,0,249968,4,8,2,1334836,1
60,1,107756,1,7,5,1031843,1
2,1,22763,9,4,6,270370,0
32,0,69042,4,7,4,459104,0
56,0,86975,3,6,7,1227754,1
34,0,199139,1,3,6,3188152,1
46,0,86229,9,5,4,1567320,1
62,0,239817,4,0,6,2993218,1
52,1,149251,4,0,0,2864430,1
76,0,151521,9,7,4,2217715,1
13,1,96516,3,9,5,1286631,0
24,1,164455,3,3,4,916354,1
44,0,38365,2,1,0,654439,1
46,1,145565,4,7,0,1119779,1
52,0,152312,9,5,2,1494294,1
54,1,45292,1,4,5,767978,0
49,0,105998,6,2,3,1537095,1
72,0,237208,2,8,5,3599798,1
75,1,120155,8,8,4,1418405,1
21,1,221476,2,4,7,3286670,1
70,1,172331,4,5,1,1422213,1
0,1,52070,7,1,2,583524,0
64,0,216940,3,6,5,2595665,1
55,0,147868,1,6,0,1945329,1
38,0,13828,4,8,1,94035,0
8,1,80448,7,5,4,1130913,0
40,0,80028,9,6,5,1207724,1
44,0,185271,1,3,7,2140210,1
11,0,209919,0,9,5,2018319,0
29,0,76262,9,3,1,408856,1
32,0,34995,7,4,6,358143,0
75,1,165378,1,2,0,1715393,1
65,0,151130,0,4,7,2055816,1
38,1,158226,1,1,3,2512317,1
80,0,169741,8,2,6,2162694,1
61,0,215950,7,5,6,2234127,1
53,0,131251,9,2,6,1933975,1
59,1,183921,1,7,6,2089192,1
22,1,25434,4,0,5,414501,0
32,1,186806,3,7,7,2390246,1
64,0,225598,3,5,1,1653156,1
42,0,152810,5,8,5,1758495,1
33,1,101575,0,6,4,2107840,1
68,1,52359,3,1,7,973733,0
45,1,178298,1,3,0,1916209,1
36,1,214923,0,5,3,2098773,1
28,0,30538,2,9,3,515974,0
67,0,144308,1,8,3,1692563,1
50,0,122169,9,3,3,2083009,1
20,1,10138,5,2,0,183571,0
12,0,205425,4,2,2,2548195,1
18,0,199414,8,4,2,2177502,1
18,0,180047,1,0,2,2417364,1
20,1,196762,0,5,3,2613164,1
11,1,238880,9,5,0,4549790,1
69,0,88518,2,4,0,895655,0
14,0,203226,2,6,1,3884925,1
50,0,16142,1,7,7,218574,1
71,1,246460,5,8,1,2885470,0
30,0,61919,7,8,3,1021833,1
20,1,158683,9,0,4,2663455,1
46,0,87842,7,0,0,764057,1
12,1,88471,7,6,6,1522211,0
65,0,193399,1,7,7,2076787,1
74,0,165394,1,1,5,2481383,1
15,1,90807,9,2,1,584186,0
65,1,126185,2,4,5,1343571,1
7,0,133853,6,9,4,1032626,0
29,0,176668,7,8,6,2550641,1
80,0,148262,1,1,3,2734346,1
19,1,153217,6,7,3,1364274,1
21,1,131534,6,5,7,905654,1
30,1,156721,6,6,1,1072006,1
78,0,64238,5,6,5,538683,1
80,0,72551,4,5,2,1233255,1
64,0,42402,7,1,1,581739,1
50,0,101218,1,1,6,1907152,1
57,0,180201,1,5,2,2385085,1
12,0,199344,8,0,5,1848411,1
72,0,26211,1,6,5,416535,0
47,0,160043,6,0,4,2828930,1
70,0,219932,9,4,5,2490037,1
72,1,236762,1,9,3,3835587,1
33,0,28135,2,7,3,552107,1
43,0,26923,1,5,5,432254,0
12,0,36672,1,4,3,157508,0
45,0,30132,6,8,0,587609,0
34,0,247954,9,4,0,2864079,1
42,0,142473,2,4,4,1762545,1
46,0,249719,5,5,0,1752816,1
46,1,134577,2,2,6,945362,1
54,1,61955,1,2,0,994826,1
76,0,197619,1,8,3,3532535,1
58,1,186743,6,6,7,1080579,1
78,1,245990,5,2,5,3715790,1
55,1,84707,4,5,1,1052348,1
56,1,123688,0,2,2,2012469,1
67,0,17006,9,0,1,216451,0
53,1,249160,4,7,6,4556621,1
4,1,15939,7,9,7,129707,0
14,1,243020,6,4,3,4680133,1
61,1,206173,8,1,5,2693021,1
7,1,141564,6,1,4,836341,0
69,0,122911,9,7,4,1658591,0
61,0,15451,0,3,6,238623,0
25,1,199699,9,0,0,3441803,1
42,0,78431,3,4,3,1509849,1
64,0,162614,2,4,4,2734244,1
35,0,149227,5,1,0,2850763,1
65,0,184535,7,6,2,3117765,1
12,0,153369,2,6,3,2840148,0
70,0,38482,8,8,5,431324,0
77,0,63521,1,6,0,1325453,1
64,1,73232,6,0,7,500307,0
64,0,205861,1,5,6,3628805,1
75,1,118946,9,6,6,895280,0
4,0,211165,4,1,6,3509568,0
7,0,183423,0,5,2,1811052,0
67,1,223262,9,7,5,4016515,1
62,0,25523,1,6,1,427174,1
56,0,147686,3,6,6,857435,1
52,1,178616,8,1,6,927623,0
9,1,229526,4,5,3,1847123,0
46,1,218859,5,2,1,2152863,1
12,0,61001,8,1,3,641896,0
77,0,140429,5,5,2,1447207,1
71,0,67615,3,1,2,507755,1
8,0,62874,4,3,2,795018,0
24,0,152228,9,2,1,2075717,1
80,0,105102,2,7,7,1884195,1
0,0,75942,9,9,7,501354,0
40,0,94040,9,9,5,979314,1
46,0,44998,5,2,7,586612,0
67,1,51328,1,7,7,200143,0
5,0,223984,4,4,0,4369279,0
5,1,123903,5,8,1,1998690,0
73,0,210339,4,7,7,3113710,1
56,0,137815,0,0,5,1262427,1
50,1,63747,4,1,1,966723,1
74,0,238634,9,9,6,2661082,1
68,1,10887,7,9,0,155636,0
68,0,36049,7,9,3,299549,0
6,0,186342,5,9,7,1563935,0
28,1,65633,8,2,0,1275088,1
57,0,72875,7,1,5,850071,1
48,1,38230,1,8,2,338527,0
23,1,98229,0,3,7,1882134,1
19,0,78136,7,8,2,582258,1
29,0,160305,5,5,4,2544229,1
47,1,186872,6,6,5,2515863,1
50,1,135844,9,0,5,1175332,1
27,0,70272,1,5,1,761304,0
9,1,86872,8,6,4,1556918,0
16,1,92289,4,9,2,1526166,0
24,1,235646,5,1,2,2176568,1
16,0,241800,5,4,6,3593654,0
22,0,72943,2,9,1,1358345,1
42,1,162353,4,8,6,1049285,1
74,1,153697,5,2,1,1664985,1
35,0,184398,6,8,5,2451492,1
7,0,231677,0,5,4,2455751,0
59,1,160368,2,3,5,3010961,1
60,1,145530,7,3,3,2120163,1
36,0,188267,2,2,1,2200645,1
76,1,107493,4,1,0,1347213,0
78,0,166470,5,9,2,2611211,1
28,0,110336,9,6,2,898451,1
34,1,22356,2,2,2,109244,0
24,0,173900,7,0,6,1816452,1
31,0,189588,5,3,7,1881431,0
60,0,27413,9,4,7,294574,0
41,0,86240,3,8,3,759010,1
72,0,103422,4,7,3,1589931,0
22,0,15520,5,9,7,254940,1
21,1,74925,7,4,6,360644,1
35,1,187385,8,8,6,2576300,1
27,1,132439,2,3,2,2696362,1
66,1,244473,4,0,7,1720195,1
33,0,153279,5,8,1,2937277,1
38,1,129639,8,1,4,1970348,1
6,1,240192,1,2,4,4655757,1
2,0,46468,7,8,2,418778,0
72,1,69191,6,1,3,1231804,1
50,1,243192,7,5,0,3221678,1
14,0,14234,6,0,6,149204,0
47,1,87535,8,5,3,425894,1
78,1,237443,6,1,5,3486596,1
78,1,229071,3,0,5,4380653,1
77,1,55095,1,5,2,302024,0
29,0,43665,2,0,4,641637,1
60,1,88542,7,2,7,424309,1
44,1,111158,7,9,0,1718821,1
8,0,133099,1,0,4,1421212,0
20,1,55913,3,2,6,1118503,1
41,0,128028,1,4,3,2077441,1
58,1,208237,4,1,0,3801557,1
1,1,213147,3,6,7,2513128,0
61,1,217352,1,1,7,1956267,1
44,1,47019,9,8,0,606636,0
73,0,240606,8,9,3,3976154,1
75,0,156971,2,4,6,1211341,1
34,0,118036,0,9,5,1724332,1
58,1,157175,3,9,6,2616463,1
7,0,141040,2,1,5,1963111,0
34,0,38302,1,8,0,374793,0
20,0,35525,6,7,0,533416,0
37,0,53469,6,5,4,950906,1
57,0,187359,0,5,1,2019966,1
28,0,149282,5,3,1,1695886,1
23,0,15741,9,5,2,242265,1
20,1,40257,0,5,5,624769,1
74,1,235162,2,7,7,4160477,1
74,0,232123,2,2,1,2958436,1
73,1,85602,7,0,4,1370447,1
21,1,71169,3,0,3,1051945,1
32,0,213834,0,5,4,3334014,1
2,1,144327,8,6,7,2796676,0
65,1,33989,4,0,3,380322,0
7,0,99049,4,5,0,667465,0
61,0,225558,5,4,1,2885447,1
72,0,235458,5,6,6,1295996,1
7,0,168302,7,6,5,2782618,0
11,0,45903,2,7,7,868306,0
70,1,127305,5,8,4,988021,0
51,0,160611,1,6,1,3062246,1
63,1,187244,6,9,2,1570174,1
12,1,145203,8,4,5,1165538,0
21,1,137006,1,1,5,1374130,1
9,1,160655,4,4,7,1079160,0
16,0,226310,9,6,2,4549967,0
8,1,140956,7,5,7,1449491,0
14,0,68870,0,5,6,1153005,0
79,0,75982,4,0,1,1072214,1
47,1,21151,6,5,2,288036,1
12,0,133728,0,2,7,2395650,0
13,0,30789,0,2,1,155253,0
62,1,130951,3,5,5,973242,1
79,1,139631,6,9,0,2643357,1
77,1,21874,9,2,7,402190,0
68,1,160872,5,5,7,872029,0
21,1,194844,1,9,2,2767392,1
80,1,225971,8,5,6,2647645,1
22,1,84055,5,4,3,696557,1
27,0,159180,1,0,2,1027405,1
12,1,59649,7,8,6,634978,0
20,1,89414,8,1,4,1349363,1
52,0,184463,4,7,3,914707,1
0,1,45554,9,4,7,710422,0
77,0,195272,3,1,2,1541605,1
41,1,199298,1,7,2,3257144,1
39,0,216391,7,1,5,2344054,1
10,1,68160,5,1,4,740869,0
55,1,11051,4,2,2,151379,0
57,0,141379,5,8,3,2041925,1
57,1,35954,1,3,2,298999,0
47,1,217456,3,7,0,4115259,1
26,0,53919,5,8,5,799928,1
33,0,76809,7,8,2,324155,1
23,0,228306,9,1,1,3765881,1
33,0,28782,4,6,7,257657,1
0,1,167249,8,6,6,1257633,0
61,0,103664,9,1,2,716101,1
78,1,164648,5,1,7,1235417,0
46,0,143059,7,8,5,2057769,1
9,0,148419,2,8,2,789499,0
52,0,139572,2,6,0,953832,1
59,0,122669,1,8,2,2223893,1
71,0,170703,4,2,2,3160724,1
51,0,249179,5,3,5,3149071,1
41,0,15454,8,4,1,159300,0
46,0,244000,4,3,4,3273896,1
44,1,71602,2,4,1,655640,1
26,0,85504,8,2,2,754530,1
33,1,165438,2,9,5,1950049,1
17,1,246304,9,0,0,4638449,0
14,0,63822,1,0,4,1188220,0
34,1,121023,3,9,6,658206,0
49,0,110706,9,0,7,1229616,1
78,0,188173,8,4,4,1469825,1
44,1,232491,7,3,6,2942819,1
14,0,69550,4,7,1,1364984,0
56,1,63218,0,2,7,391766,1
38,1,47034,6,7,7,878322,1
17,0,60599,3,5,2,825608,0
62,0,144794,5,5,5,2218930,1
4,1,59877,6,2,5,982662,0
10,0,168458,8,8,1,2696839,0
72,0,88537,5,3,7,1233984,0
29,0,45739,1,4,7,230792,1
57,1,120966,3,2,1,2036468,1
20,1,96700,0,4,6,880081,1
41,1,114501,9,6,3,931621,0
58,1,180639,2,5,5,899986,1
75,1,183388,3,2,7,2595952,1
62,0,22205,8,7,7,166607,0
62,0,223456,4,7,0,1869527,1
75,0,133805,1,6,7,1291144,1
36,0,227282,3,3,5,2812896,1
20,1,32692,0,0,4,527630,0
35,1,45733,7,9,7,334117,1
18,0,249649,4,8,0,1906752,1
51,0,207539,1,6,2,1433091,1
78,0,247715,4,5,6,3720825,1
74,0,239653,5,0,6,3592510,0
6,1,207778,0,9,3,1627843,0
30,0,36206,5,8,4,369315,1
59,1,108064,1,6,7,1345898,1
0,0,174726,8,4,1,1162309,1
80,0,202458,2,1,6,3977136,1
1,1,108071,5,5,5,1362851,0
74,0,50130,2,3,6,539610,0
15,1,189515,8,0,0,901088,0
9,1,43065,0,2,5,434578,0
36,1,239071,7,8,7,1975298,1
79,1,189359,2,9,2,2295548,1
72,1,249455,5,9,5,4262915,1
50,1,58803,2,6,4,498433,1
28,0,24859,9,5,7,380889,0
13,1,146319,9,4,7,2632369,1
21,1,184718,0,5,5,2862687,1
35,1,17697,1,6,4,284868,0
68,1,86436,0,9,7,1241906,1
15,0,82684,4,9,3,1447674,0
26,1,33382,0,9,7,513033,0
30,0,133664,2,8,6,1846392,1
65,0,31316,2,3,0,322674,0
74,0,145150,9,1,3,2812691,1
19,1,44754,0,7,5,708840,1
28,1,17493,6,2,6,193570,0
68,0,246907,3,6,7,3854482,1
18,1,148202,0,2,3,2094472,1
42,0,95959,8,5,7,788243,0
19,1,96226,8,6,5,1681433,1
10,1,56121,2,7,5,970829,0
45,1,145909,8,5,4,2103431,1
6,0,98422,9,7,3,1210284,0
42,0,109956,3,4,4,1439472,0
53,0,249731,3,4,4,3850959,1
10,1,171205,3,7,5,2236967,0
56,1,158376,7,5,4,943185,1
29,1,43040,4,1,6,277034,0
46,0,82255,6,5,2,927124,0
6,1,183904,4,0,4,3548875,0
49,1,32490,1,5,7,313224,0
16,1,137402,4,7,3,2087552,0
23,0,18947,3,8,4,160348,0
28,1,21618,8,4,2,255826,0
47,1,38633,1,9,3,393831,0
65,1,81947,3,0,3,1392982,1
0,0,59593,3,0,1,1131753,0
23,1,165666,6,5,7,2145392,1
32,1,197620,1,2,0,3240510,1
75,0,36140,8,2,6,323922,0
43,1,100385,7,7,3,1392861,1
32,1,108234,4,5,4,792119,1
21,1,29627,0,1,3,442112,0
15,0,169629,8,0,2,1255359,0
57,0,136613,6,2,0,875190,1
73,0,87606,6,7,2,950803,0
34,1,146587,4,0,0,1461132,1
46,1,52674,4,9,1,318715,1
8,1,213085,5,4,7,4238364,0
79,1,245207,8,8,7,2235126,1
42,1,220926,2,8,7,3506620,1
62,0,159682,4,3,1,1568048,1
67,1,72712,5,2,7,476428,0
47,0,94573,4,2,0,1105485,1
44,1,79806,5,4,3,1494109,1
74,0,104242,2,9,6,1034887,0
64,0,53894,6,8,5,734206,1
32,0,154923,1,6,1,2603593,1
79,1,136796,2,2,7,1919965,1
34,1,18876,5,3,0,200445,0
22,1,109485,4,6,3,2026694,1
22,0,162364,7,4,5,1349655,1
5,0,39320,4,9,0,570885,0
44,0,218048,4,5,3,1499268,1
40,1,171304,0,1,7,1718136,1
5,0,117594,4,2,6,1574992,0
34,1,32499,8,4,1,244018,1
15,1,75756,4,5,3,1377338,0
0,1,47344,3,2,7,396141,0
44,1,241444,2,7,5,2715602,1
9,1,249608,6,8,7,2013311,0
14,1,120782,8,3,3,2112673,0
14,0,147080,9,1,7,2805653,0
1,0,176412,8,5,1,890511,0
66,1,186318,9,1,0,1563576,1
41,0,199603,8,8,3,2438578,1
51,0,168849,9,8,2,2576604,1
22,0,185309,2,5,7,1943736,1
1,0,13084,1,3,7,218913,0
74,1,156259,1,8,7,2502924,1
61,1,30863,0,7,2,642320,1
54,1,66240,8,6,7,975198,1
15,0,97029,9,0,7,603257,0
41,0,169422,4,0,6,3216531,1
5,1,158369,4,0,3,2980062,0
23,0,58665,9,1,0,488045,1
60,1,164546,6,5,1,3233038,1
71,0,52771,8,0,1,524527,0
28,0,224327,7,0,4,3371883,1
6,0,60906,6,2,2,530387,0
62,1,44980,6,5,6,526738,1
2,1,130494,7,6,6,882436,0
30,0,40480,1,8,2,402837,1
78,0,232789,5,1,2,2366163,1
61,0,96988,8,6,2,892644,1
